No.,発行元,発行元Prefix,管理用ID,年,BOX/シリーズ,BOX/シリーズPrefix,Distribution,カード番号,選手名,チーム名,種別,パラレル/オート,Base / Inserts,シリアルNo.,枚数,状態,ステータス,購入日,購入価格,メモ
64,Topps,tp,tp_2025_US_#US046,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US046,Ryan Pressly,Chicago Cubs,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US047,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US047,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US048,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US048,,,,,base,,,,,,,
45,Topps,tp,tp_2025_US_#US049,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US049,Michael Petersen,Miami Marlins,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US050,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US050,,,,,base,,,,,,,
74,Topps,tp,tp_2025_US_#US051,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US051,Adam Frazier,Pittsburgh Pirates,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US052,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US052,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US053,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US053,,,,,base,,,,,,,
,Topps,tp,tp_2025_US_#US054,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US054,,,,,base,,,,,,,
131,Topps,tp,tp_2025_US_#US055,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US055,Tomoyuki Sugano,Baltimore Orioles,RC,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
218,Topps,tp,tp_2025_US_#US056,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US056,Dominic Canzone,Seattle Mariners,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
179,Topps,tp,tp_2025_US_#US057,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US057,Michael Taylor,Chicago White Sox,,,base,,1,,所持中,2025-11-21,"17,380円 / Hobby Box",topps.jp で購入した初Box。
,Topps,tp,tp_2025_US_#US058,2025,Topps Update Series,US,"Hobby, Jumbo, Blasters",#US058,,,,,base,,,,,,,
